37.872145, -122.269623, 58.413000, Good Day Spa, description, Good Day Spa, bearing, 174.006356
37.872160, -122.269574, 58.150000, Gentle Hair Cuts, description, Gentle Hair Cuts, bearing, 172.592164
37.872159, -122.269452, 58.707000, Blow Salon, description, Blow Salon, bearing, 172.391012
37.872167, -122.269399, 58.664000, Beads Castle, description, Beads Castle, bearing, 172.687562
37.872144, -122.269675, 57.919000, Berkeley Shade Co., description, Berkeley Shade Co., bearing, 175.468464
37.872119, -122.269734, 58.491000, Fantasy T shirts, description, Fantasy T shirts, bearing, 173.977920
37.872105, -122.269814, 58.656000, LHASA Salon, description, LHASA Salon, bearing, 174.335375
37.872079, -122.270031, 58.420000, Trpoical Paradise Restaurant, description, Trpoical Paradise Restaurant, bearing, 173.272811
37.872096, -122.269908, 57.836000, Nail Image, description, Nail Image, bearing, 172.426989
37.872048, -122.270318, 57.617000, Shrimati's, description, Shrimati's, bearing, 173.890582
37.872741, -122.267056, 64.172000, Ace Hardware, description, Ace Hardware, bearing, 86.185397
37.872709, -122.267045, 63.387000, Berkeley Hardware, description, Berkeley Hardware, bearing, 86.687633
37.872913, -122.267112, 66.442000, Cedar Properties, description, Cedar Properties, bearing, 86.207507
37.873050, -122.267139, 68.181000, University of California Press, description, University of California Press, bearing, 85.276936
37.873364, -122.268686, 62.621000, Chick Peas, description, Chick Peas, bearing, 87.659799
37.873294, -122.268681, 62.543000, Dr. Harlan Optometry, description, Dr. Harlan Optometry, bearing, 88.625483
37.873191, -122.268681, 62.206000, Shoe Renewal, description, Shoe Renewal, bearing, 86.426466
37.873154, -122.268659, 61.939000, Lorsa Karnak Herb Co., description, Lorsa Karnak Herb Co., bearing, 83.663930
37.871374, -122.267336, 61.364000, Addison Armor Cafe, description, Addison Armor Cafe, bearing, 172.208713
37.871215, -122.267264, 61.509000, Patrico Credit Union, description, Patrico Credit Union, bearing, -12.263529
37.872187, -122.267196, 62.170000, May Flower Chinese Restaurant, description, May Flower Chinese Restaurant, bearing, -12.630322
37.872110, -122.267500, 61.518000, La Rose Bistro, description, La Rose Bistro, bearing, -12.454576
37.870423, -122.267785, 58.430000, Copy Shop, description, Copy Shop, bearing, 98.476552
37.872390, -122.267611, 61.407000, Krishna Copy Center, description, Krishna Copy Center, bearing, 172.167057
37.872398, -122.267528, 61.964000, Domino's Pizza, description, Domino's Pizza, bearing, 171.294879
37.872421, -122.267460, 61.396000, Lej Vegi House, description, Lej Vegi House, bearing, 169.632562
37.872425, -122.267418, 62.229000, Acherson Bldg, description, Acherson Bldg, bearing, 170.470183
37.872432, -122.267275, 61.676000, Mike's Bicycle Center, description, Mike's Bicycle Center, bearing, 170.424439
37.872459, -122.267115, 61.768000, Berkeley Hardware Store, description, Berkeley Hardware Store, bearing, 174.216104
37.872250, -122.268720, 61.291000, McDonalds, description, McDonalds, bearing, 174.681793
37.872234, -122.268875, 59.223000, The Cutting Board, description, The Cutting Board, bearing, 173.236716
37.872168, -122.269206, 59.864000, Berkeley Sewing and Cleaning, description, Berkeley Sewing and Cleaning, bearing, 173.926843
37.872228, -122.269047, 58.681000, Ank Hong, description, Ank Hong, bearing, 172.304811
37.871818, -122.269981, 58.181000, Ayakakia, description, Ayakakia, bearing, -13.891503
37.871800, -122.270080, 56.793000, Fast Imaging, description, Fast Imaging, bearing, -13.765283
37.871791, -122.270147, 57.224000, Cafe Tibet, description, Cafe Tibet, bearing, -12.133593
37.871772, -122.270199, 57.439000, Tibet Jewels, description, Tibet Jewels, bearing, -10.384233
37.871779, -122.270299, 60.887000, Berkeley Apartments, description, Berkeley Apartments, bearing, -9.372344
37.871758, -122.270349, 56.641000, Darlington Shop, description, Darlington Shop, bearing, -13.136730
37.872031, -122.270478, 56.295000, NIQ Home Improvement, description, NIQ Home Improvement, bearing, 175.114525
37.871643, -122.271243, 57.012000, Firestone, description, Firestone, bearing, -12.321166
37.871628, -122.271403, 55.351000, eVe, description, eVe, bearing, -9.999033
37.871466, -122.272749, 53.812000, Valero Gas, description, Valero Gas, bearing, -12.267232
37.871549, -122.271938, 55.713000, Zobe Hotel, description, Zobe Hotel, bearing, -12.171088
37.871542, -122.271959, 55.585000, Silkroad, description, Silkroad, bearing, -11.557873
37.873742, -122.266399, 75.870000, Apartment Complex, description, Apartment Complex, bearing, -8.971408
37.874038, -122.265734, 87.813000, Barker Hall, description, Barker Hall, bearing, -0.019763
37.873743, -122.265271, 87.392000, Koshland Hall, description, Koshland Hall, bearing, -164.482363
37.873109, -122.265548, 86.544000, Li Ka Shing Center for Biomedical and Health Sciences, description, Li Ka Shing Center for Biomedical and Health Sciences, bearing, -55.661041
37.873481, -122.265048, 85.649000, Genetics and Plant Biology Building, description, Genetics and Plant Biology Building, bearing, -93.791077
37.872016, -122.266231, 81.607000, University Hall, description, University Hall, bearing, 89.999922
37.870656, -122.271605, 52.004000, Circular Gate, description, Circular Gate, bearing, -11.051587
37.870834, -122.271591, 53.097000, For Lease, description, For Lease, bearing, 172.832970
37.869457, -122.270686, 56.898000, Civic Center, description, Civic Center, bearing, 83.010897
37.869981, -122.271282, 53.485000, International Computer Science Center, description, International Computer Science Center, bearing, 173.693433
37.869951, -122.272668, 51.400000, Berkeley Teen Center, description, Berkeley Teen Center, bearing, -98.476493
37.870820, -122.270393, 54.253000, Heron, description, Heron, bearing, -7.127994
37.870815, -122.270428, 54.107000, Marble Texture, description, Marble Texture, bearing, -7.127995
37.870835, -122.270275, 54.323000, Mountain Lion, description, Mountain Lion, bearing, -7.895281
37.870835, -122.270298, 55.270000, Alarm, description, Alarm, bearing, -5.853453
37.870984, -122.270384, 57.185000, Triple Archway, description, Triple Archway, bearing, 175.659374
37.871062, -122.269661, 61.435000, Berkeley Rep, description, Berkeley Rep, bearing, 174.081972
37.871057, -122.269690, 61.436000, Preacher, description, Preacher, bearing, 172.872009
37.871080, -122.269607, 63.979000, Covered Hand, description, Covered Hand, bearing, 171.959587
37.871083, -122.269605, 56.230000, The Roda Theatre, description, The Roda Theatre, bearing, 173.167455
37.871101, -122.269386, 61.156000, Berkeley Rep, description, Berkeley Rep, bearing, 172.304706
37.871107, -122.269345, 61.507000, Preacher, description, Preacher, bearing, -171.449008
37.871112, -122.269301, 62.175000, Berkeley Rep, description, Berkeley Rep, bearing, 174.184057
37.870016, -122.268158, 58.652000, Elevators to BART, description, Elevators to BART, bearing, 179.304193
37.870899, -122.268351, 57.192000, BART, description, BART, bearing, 91.303588
37.870545, -122.267890, 62.129000, Vertical Metal Divider, description, Vertical Metal Divider, bearing, 95.565572
37.870592, -122.267336, 59.978000, ATM1, description, ATM1, bearing, 168.651771
37.870595, -122.267323, 59.870000, ATM2, description, ATM2, bearing, 174.706501
37.870595, -122.267323, 59.870000, ATM3, description, ATM3, bearing, 172.273385
37.870729, -122.266189, 70.540000, 2nd window from the right, description, 2nd window from the right, bearing, -98.702655
37.870279, -122.266013, 62.387000, NEON sign, description, NEON sign, bearing, 88.597681
37.870139, -122.266000, 60.818000, Red pole, description, Red pole, bearing, 82.430899
37.869804, -122.265956, 67.886000, Real Brick Walls?, description, Real Brick Walls?, bearing, 85.958312
37.869056, -122.266282, 70.560000, Geometric Apartment Complex, description, Geometric Apartment Complex, bearing, 117.492335
37.869502, -122.265665, 69.711000, Crazy Person on Ad, description, Crazy Person on Ad, bearing, -77.758759
37.869720, -122.265581, 65.982000, Vine Covered Wall, description, Vine Covered Wall, bearing, -90.537577
37.869635, -122.265565, 65.854000, Indecipherable Writing, description, Indecipherable Writing, bearing, -80.295441
37.869450, -122.266526, 59.922000, Public Entry Permitted, description, Public Entry Permitted, bearing, -12.263814
37.869758, -122.266472, 61.941000, Cheap apartments ~$800, description, Cheap apartments ~$800, bearing, 173.698041
37.869664, -122.266577, 71.327000, I live here!, description, I live here!, bearing, 173.508299
37.869629, -122.266863, 60.207000, Private Residence., description, Private Residence., bearing, 173.267804
37.869651, -122.266710, 60.218000, Back Entrance to Garage, description, Back Entrance to Garage, bearing, 172.069295
37.869458, -122.266944, 59.790000, Daily News Posted Here, description, Daily News Posted Here, bearing, -7.183695
37.869637, -122.267746, 57.507000, BART entrance, description, BART entrance, bearing, -88.889152
37.871156, -122.269074, 57.692000, Non-profit education center - small children, description, Non-profit education center - small children, bearing, 172.273449
37.869266, -122.269521, 54.327000, Fire Escape, description, Fire Escape, bearing, 174.040738
37.870076, -122.268378, 60.220000, Public Library, description, Public Library, bearing, -8.739426
37.869353, -122.269037, 56.213000, Parking is $12 a day, description, Parking is $12 a day, bearing, -96.078898
37.869347, -122.269291, 55.056000, Public entrance, description, Public entrance, bearing, 171.265132
37.871109, -122.269474, 55.462000, side entrance, description, side entrance, bearing, 173.009038
37.870918, -122.269627, 58.385000, Stadium Garage, description, Stadium Garage, bearing, -10.154368
37.870806, -122.270111, 52.833000, parking is $10 an hour (!), description, parking is $10 an hour (!), bearing, -15.486591
37.869975, -122.269836, 55.673000, Berkeley City College, description, Berkeley City College, bearing, -9.403367
37.868540, -122.266843, 63.865000, they are responsible for blocking off the roads when there are games, description, they are responsible for blocking off the roads when there are games, bearing, -6.124395
37.868781, -122.266729, 59.352000, this underground garage is huge, description, this underground garage is huge, bearing, 172.857785
37.869241, -122.270723, 59.833000, Civic Center Cube, description, Civic Center Cube, bearing, 172.851221
37.869693, -122.271476, 49.865000, A common squirrel feeding ground, description, A common squirrel feeding ground, bearing, -10.467633
37.869716, -122.271673, 49.713000, Do not walk on grass, description, Do not walk on grass, bearing, -5.737252
37.869984, -122.271832, 53.735000, Veterans Memorial, description, Veterans Memorial, bearing, 168.467560
37.868531, -122.267028, 60.490000, this apartment looks shady, description, this apartment looks shady, bearing, -9.298619
37.868478, -122.267418, 62.260000, the flats here are cheap but have very low ceilings, description, the flats here are cheap but have very low ceilings, bearing, -11.369358
37.869857, -122.272281, 53.944000, Addison House, description, Addison House, bearing, 173.519890
37.868649, -122.267393, 63.870000, this building is actually vacant and closed because of chemical leaks, description, this building is actually vacant and closed because of chemical leaks, bearing, 173.432792
37.871631, -122.271359, 55.203000, None, description, None, bearing, -8.971650
37.871980, -122.271216, 58.388000, summer session administration is totally separate from noraml operations; which is why they have this buildling, description, summer session administration is totally separate from noraml operations; which is why they have this buildling, bearing, 174.149409
37.871517, -122.271642, 57.079000, 8 studios for the hungry artist, description, 8 studios for the hungry artist, bearing, -4.857118
37.871501, -122.272460, 57.014000, this building is quite stately, description, this building is quite stately, bearing, -5.944893
37.871712, -122.273148, 56.983000, still under construction, description, still under construction, bearing, 89.458314
37.870127, -122.270238, 55.555000, they have resources on the most obscure languages, description, they have resources on the most obscure languages, bearing, 174.659381
37.870213, -122.269676, 54.669000, "chinese energy" center, description, "chinese energy" center, bearing, 171.127894
37.872799, -122.269040, 63.575000, Perenniel Graffiti, description, Perenniel Graffiti, bearing, -97.219833
37.868188, -122.268764, 58.053000, this library has over 500000 books and 25408 videos, description, this library has over 500000 books and 25408 videos, bearing, -13.775084
37.868165, -122.269061, 56.209000, arch canopy, description, arch canopy, bearing, -11.497658
37.867949, -122.269902, 59.269000, leasing apartments for under $900, description, leasing apartments for under $900, bearing, -97.179912
37.872966, -122.269314, 65.060000, Flagpost, description, Flagpost, bearing, 169.597711
37.873040, -122.269254, 63.558000, Home to 4 red trucks, description, Home to 4 red trucks, bearing, 172.224883
37.873096, -122.269026, 64.076000, Looks flammable, description, Looks flammable, bearing, 171.280818
37.871101, -122.266969, 63.737000, tunnel tag, description, tunnel tag, bearing, -10.053868
37.871651, -122.266748, 62.928000, enormous amounts of paperwork to do if you come here :(, description, enormous amounts of paperwork to do if you come here :(, bearing, 167.724456
37.871441, -122.267044, 68.047000, this fading ad has been here for over 50 years, description, this fading ad has been here for over 50 years, bearing, 171.807020
37.871600, -122.267088, 66.914000, dangerous to live here! leaky too, description, dangerous to live here! leaky too, bearing, 87.838921
37.872094, -122.270154, 57.112000, Round Table Pizza, description, Round Table Pizza, bearing, 173.685255
37.870432, -122.268773, 81.866000, boat noodle house, description, boat noodle house, bearing, 173.225372
37.870997, -122.267582, 61.224000, Bank of America, description, Bank of America, bearing, -83.780878
37.870522, -122.268356, 96.195000, United Banking Offices, description, United Banking Offices, bearing, 132.726069
37.870506, -122.267884, 61.053000, Kaplan Test Prep, description, Kaplan Test Prep, bearing, 98.453208
37.870411, -122.266012, 62.742000, Tibet Souvenirs, description, Tibet Souvenirs, bearing, 87.048669
37.869949, -122.265964, 64.010000, Pilates, description, Pilates, bearing, 92.599593
37.869749, -122.265934, 63.494000, Azezzeban Restaurant, description, Azezzeban Restaurant, bearing, 103.667537
37.869494, -122.266074, 67.747000, Office Buildings, description, Office Buildings, bearing, 103.128400
37.869700, -122.266256, 62.502000, Saleil Tanning Salon, description, Saleil Tanning Salon, bearing, 178.116101
37.869719, -122.266168, 62.627000, Azerbaiin Restaurant, description, Azerbaiin Restaurant, bearing, 172.504739
37.869364, -122.266470, 74.150000, Gym, description, Gym, bearing, 169.737311
37.869429, -122.266843, 64.523000, Berkeley Sun, description, Berkeley Sun, bearing, -11.576708
37.869562, -122.267370, 59.315000, Take and Go, description, Take and Go, bearing, 173.565763
37.869542, -122.267718, 59.416000, Walgreens, description, Walgreens, bearing, -86.978581
37.869094, -122.268212, 58.054000, Berkeley Jackets, description, Berkeley Jackets, bearing, 89.501092
37.869186, -122.268612, 57.340000, Hotel Shattuck Lounge, description, Hotel Shattuck Lounge, bearing, -6.391133
37.871531, -122.272060, 56.076000, The Promenade, description, The Promenade, bearing, -11.311344
37.871811, -122.272077, 57.778000, Fish Castle, description, Fish Castle, bearing, 172.152385
37.871813, -122.272225, 55.386000, Fred's Market, description, Fred's Market, bearing, 172.720268
37.871779, -122.272324, 55.387000, Plearn Restaurant, description, Plearn Restaurant, bearing, 171.548208
37.871753, -122.272517, 54.793000, The Hot Tubs, description, The Hot Tubs, bearing, 172.208745
37.871740, -122.272665, 52.845000, Utrecht Art Supplies, description, Utrecht Art Supplies, bearing, 172.154930
37.871487, -122.272642, 53.448000, Udupi Palace, description, Udupi Palace, bearing, -7.700778
37.871719, -122.272779, 53.923000, Indonesia Palace, description, Indonesia Palace, bearing, 174.429514
37.871868, -122.272900, 52.911000, MM Thread Salon, description, MM Thread Salon, bearing, -96.118175
37.871968, -122.272906, 52.582000, Max and Company Real Estate, description, Max and Company Real Estate, bearing, -96.091893
37.872061, -122.272921, 53.454000, Flamingo Cleaners, description, Flamingo Cleaners, bearing, -95.400503
37.872188, -122.272928, 53.889000, Mysterious Motel, description, Mysterious Motel, bearing, -94.558434
37.872347, -122.272947, 54.102000, Eclipse Hair Salon, description, Eclipse Hair Salon, bearing, -94.155093
37.869937, -122.270151, 53.852000, K's Internet Cafe, description, K's Internet Cafe, bearing, -11.103782
37.869045, -122.269073, 54.967000, <undefined>, description, <undefined>, bearing, -11.980877
37.868441, -122.267601, 57.551000, Peet's Coffee and Tea, description, Peet's Coffee and Tea, bearing, -9.410358
37.872488, -122.266767, 64.059000, Brazil Cafe, description, Brazil Cafe, bearing, 171.976399
37.872008, -122.267908, 62.740000, CopyCentral, description, CopyCentral, bearing, 83.953648
37.872290, -122.268519, 60.640000, McDonalds, description, McDonalds, bearing, 83.430383
37.872318, -122.268134, 61.288000, Makris Cafe, description, Makris Cafe, bearing, 171.182610
37.872254, -122.268593, 61.237000, McDonalds, description, McDonalds, bearing, 171.676947
37.872212, -122.268950, 62.550000, Taiwan Restaurant, description, Taiwan Restaurant, bearing, 171.531580
37.872174, -122.269291, 58.491000, University Hotel, description, University Hotel, bearing, 170.440951
37.872151, -122.269339, 59.643000, Coin Laundry, description, Coin Laundry, bearing, 172.858102
37.871950, -122.269223, 60.558000, Goodwill, description, Goodwill, bearing, -12.327041
37.871863, -122.269590, 59.216000, LAN Beauty Salon, description, LAN Beauty Salon, bearing, -13.070880
37.871870, -122.269705, 58.754000, Cafe Platano, description, Cafe Platano, bearing, -11.858887
37.871826, -122.269876, 59.094000, For Lease, description, For Lease, bearing, -11.119920
37.871451, -122.271129, 57.453000, Firestone Tires, description, Firestone Tires, bearing, 83.309814
37.870949, -122.272695, 53.319000, Goodyear, description, Goodyear, bearing, 171.650154
37.871159, -122.272821, 51.293000, Sushi California, description, Sushi California, bearing, -95.711089
37.871547, -122.270603, 57.545000, Coquelet Cafe, description, Coquelet Cafe, bearing, -95.944193
37.869729, -122.266037, 62.365000, Azerberian Restaurant, description, Azerberian Restaurant, bearing, 170.788765
37.869700, -122.266164, 61.889000, Saleil Tanning Salons, description, Saleil Tanning Salons, bearing, 173.329573
37.869670, -122.266560, 60.694000, Cartridge World, description, Cartridge World, bearing, 173.246956
37.869328, -122.267696, 58.503000, Gaia Arts, description, Gaia Arts, bearing, -94.261435
37.869578, -122.267235, 61.656000, Jupiter, description, Jupiter, bearing, 170.223465
37.869521, -122.268247, 59.568000, Spirit General Store, description, Spirit General Store, bearing, 88.109660
37.869528, -122.267686, 64.237000, WALGREENS Pharmacy, description, WALGREENS Pharmacy, bearing, -83.957175
37.869778, -122.267703, 59.580000, Jupiter - main entrance, description, Jupiter - main entrance, bearing, -85.063472
37.869718, -122.268264, 65.533000, Blue Motels, description, Blue Motels, bearing, 89.247735
37.868943, -122.267676, 58.172000, Verizon Wireless, description, Verizon Wireless, bearing, -102.705606
37.868848, -122.267667, 58.242000, ALKO symbolic store, description, ALKO symbolic store, bearing, -97.058216
37.868759, -122.267642, 59.506000, ezSTOP deli - specializes in ham, description, ezSTOP deli - specializes in ham, bearing, -93.409247
37.868718, -122.268121, 61.194000, Yogurtland, description, Yogurtland, bearing, 91.946384
37.868790, -122.268186, 57.429000, Starbucks Coffee, description, Starbucks Coffee, bearing, 88.787117
37.868846, -122.268183, 58.567000, Bowzer's Pizza, description, Bowzer's Pizza, bearing, 91.170862
37.868965, -122.268225, 57.601000, Picture Frame Shop, description, Picture Frame Shop, bearing, 88.319457
37.869058, -122.268221, 56.678000, Postage Store, description, Postage Store, bearing, 88.548235
37.869140, -122.268217, 58.548000, Planet Juice, description, Planet Juice, bearing, 90.891449
37.869252, -122.268288, 59.000000, GameStop - board games and video games, description, GameStop - board games and video games, bearing, -6.683349
37.869228, -122.268450, 58.308000, Hotel Shattuck Plaza, description, Hotel Shattuck Plaza, bearing, -10.644854
37.869093, -122.269364, 55.271000, Bicycle Repair shop, description, Bicycle Repair shop, bearing, 85.302602
37.871019, -122.268761, 57.001000, Berkeley City College, description, Berkeley City College, bearing, -9.027224
37.871015, -122.268826, 56.836000, 24/7 Fitness Bike Shop, description, 24/7 Fitness Bike Shop, bearing, -8.742340
37.871194, -122.268733, 56.518000, Auborn Theatre - old movies, description, Auborn Theatre - old movies, bearing, 171.201396
37.870989, -122.269128, 55.545000, Shady sunglasses, description, Shady sunglasses, bearing, -9.916911
37.870977, -122.269169, 55.622000, Raw Energy - negative pain clinic, description, Raw Energy - negative pain clinic, bearing, -9.145839
37.871127, -122.269327, 55.796000, Wells Fargo Bank, description, Wells Fargo Bank, bearing, 170.202769
37.870886, -122.269738, 56.356000, Freight Coffee, description, Freight Coffee, bearing, -12.335383
37.869236, -122.269505, 58.985000, YMCA Day Camp, description, YMCA Day Camp, bearing, 171.201166
37.869291, -122.269183, 56.240000, Hotel Shattuck Plaza, description, Hotel Shattuck Plaza, bearing, 171.505731
37.872059, -122.270180, 57.433000, Uni Tailor Alterations, description, Uni Tailor Alterations, bearing, 172.059996
37.871617, -122.271479, 55.685000, eVe, description, eVe, bearing, -10.632149
37.871737, -122.272893, 53.337000, Udupi Palace, description, Udupi Palace, bearing, -96.655078
37.872002, -122.272913, 53.038000, Max and Company Real Estate, description, Max and Company Real Estate, bearing, -97.219753
37.872643, -122.273267, 55.035000, Eclipse Hair Salon, description, Eclipse Hair Salon, bearing, 85.472895
37.871564, -122.267591, 60.476000, Subway, description, Subway, bearing, -94.312146
37.872137, -122.267323, 60.559000, Instant Copying, description, Instant Copying, bearing, -11.328389
37.872179, -122.267135, 63.321000, May Flower Chinese Restaurant, description, May Flower Chinese Restaurant, bearing, -10.478961
37.870950, -122.269290, 56.316000, Disc Makers, description, Disc Makers, bearing, -11.163683
37.865857, -122.267789, 56.066000, Blockbusters, description, Blockbusters, bearing, 86.922662
37.866166, -122.267863, 55.161000, Creations, description, Creations, bearing, 88.253467
37.866402, -122.267912, 56.295000, Staples, description, Staples, bearing, 88.827044
37.866540, -122.267940, 59.888000, Staples Logo, description, Staples Logo, bearing, 88.560118
37.866910, -122.267981, 55.557000, The UPS Store, description, The UPS Store, bearing, 85.879981
37.867449, -122.268053, 56.229000, CVS Pharmacy, description, CVS Pharmacy, bearing, 84.328728
37.867636, -122.268078, 56.533000, La Note Restaurant Provencal, description, La Note Restaurant Provencal, bearing, 86.516068
37.867411, -122.267468, 57.056000, Mechanics Bank, description, Mechanics Bank, bearing, -96.192744
37.867001, -122.267445, 59.080000, Union Bank, description, Union Bank, bearing, -96.457456
37.867084, -122.267454, 57.450000, Venus Cafe, description, Venus Cafe, bearing, -95.775400
37.866510, -122.267382, 57.675000, Pegasus Books, description, Pegasus Books, bearing, -100.600350
37.866214, -122.267357, 57.538000, Nanayiro Restaurant, description, Nanayiro Restaurant, bearing, -97.057883
37.866288, -122.267357, 57.299000, Thalassa, description, Thalassa, bearing, -97.665072
37.865936, -122.267351, 56.680000, Discount Store, description, Discount Store, bearing, -96.070228
37.866074, -122.267363, 55.932000, Discount Store, description, Discount Store, bearing, -96.969139
37.869128, -122.267667, 58.553000, Verizon Wireless, description, Verizon Wireless, bearing, -93.078843
37.869854, -122.267694, 59.091000, Twisters Berkeley Online Ordering, description, Twisters Berkeley Online Ordering, bearing, -86.117559
37.870039, -122.267696, 59.301000, GNC, description, GNC, bearing, -87.414028
37.870075, -122.267675, 58.732000, formerly Quality Photo Lab, description, formerly Quality Photo Lab, bearing, -89.282411
37.870164, -122.267664, 60.297000, Games of Berkeley, description, Games of Berkeley, bearing, -93.049394
37.869954, -122.268294, 60.655000, Tully's Coffee, description, Tully's Coffee, bearing, 87.485636
37.869888, -122.268293, 58.642000, Alamare GELATO, description, Alamare GELATO, bearing, 89.623111
37.869691, -122.268268, 59.266000, AT&T, description, AT&T, bearing, 90.141602
37.868597, -122.268160, 57.500000, The Original Mels, description, The Original Mels, bearing, 89.067010
37.868629, -122.268208, 56.918000, Yogurtland, description, Yogurtland, bearing, 88.096556
37.867901, -122.268074, 56.228000, Everest Properties, description, Everest Properties, bearing, 88.977719
37.867843, -122.268074, 56.374000, Passand Lounge, description, Passand Lounge, bearing, 87.827869
37.870308, -122.266169, 60.447000, La Cascada Taqueria, description, La Cascada Taqueria, bearing, -13.041576
